lecture video A index,lecture video A title,lecture video A site,lecture video B index,lecture video B title,lecture video B site,vote result
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,5,equations and inequalities,https://www.coursera.org/learn/introduction-to-calculus/lecture/GXs8P/equations-and-inequalities,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,7,sign diagrams solution sets and intervals part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/mFOOl/sign-diagrams-solution-sets-and-intervals-part-2,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,8,coordinate systems,https://www.coursera.org/learn/introduction-to-calculus/lecture/2tKGg/coordinate-systems,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,9,distance and absolute value,https://www.coursera.org/learn/introduction-to-calculus/lecture/uYxXt/distance-and-absolute-value,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,10,lines and circles in the plane,https://www.coursera.org/learn/introduction-to-calculus/lecture/IG1E7/lines-and-circles-in-the-plane,1
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,11,introduction to module 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/339mr/introduction-to-module-2,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,12,parabolas and quadratics,https://www.coursera.org/learn/introduction-to-calculus/lecture/XI618/parabolas-and-quadratics,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,13,the quadratic formula,https://www.coursera.org/learn/introduction-to-calculus/lecture/jsOfP/the-quadratic-formula,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,14,functions as rules with domain range and graph,https://www.coursera.org/learn/introduction-to-calculus/lecture/IxW5B/functions-as-rules-with-domain-range-and-graph,0
